Gene ID	Gene name	Tissue	TPM	pTPM	nTPM
ENSG00000184226	PCDH9	cerebral cortex	19.4	23.9	24.3
ENSG00000184226	PCDH9	hippocampus	13.2	16.5	23.7
ENSG00000184226	PCDH9	hypothalamus	12.1	15.1	17.4
ENSG00000184226	PCDH9	nucleus accumbens	9.6	12	15.3
ENSG00000184226	PCDH9	pituitary gland	2.2	2.9	2
ENSG00000184226	PCDH9	putamen	10.9	13.3	21.1
ENSG00000184226	PCDH9	retina	13.4	18.3	9.4
ENSG00000184226	PCDH9	spinal cord	15.1	19	22.1
ENSG00000184226	PCDH9	substantia nigra	14.3	17.8	24.4
ENSG00000136099	PCDH8	amygdala	3	3.8	4.8
ENSG00000136099	PCDH8	caudate	6.2	7.6	8.5
ENSG00000136099	PCDH8	cerebellum	0.4	0.6	0.4
ENSG00000136099	PCDH8	cerebral cortex	11.4	14	13.6
ENSG00000136099	PCDH8	hippocampus	5.8	7.2	9
ENSG00000136099	PCDH8	hypothalamus	3.2	4	4.1
ENSG00000136099	PCDH8	nucleus accumbens	8.6	10.7	11.5
ENSG00000136099	PCDH8	pituitary gland	1.5	1.9	1.4
ENSG00000136099	PCDH8	putamen	3.1	3.9	4.7
ENSG00000136099	PCDH8	retina	0.8	1.1	0.6
ENSG00000136099	PCDH8	spinal cord	0.5	0.7	0.7
ENSG00000136099	PCDH8	substantia nigra	1.6	2	2.5
ENSG00000165194	PCDH19	amygdala	2.1	2.6	3.6
ENSG00000165194	PCDH19	caudate	0.6	0.8	1
ENSG00000165194	PCDH19	cerebellum	0.2	0.3	0.2
ENSG00000165194	PCDH19	cerebral cortex	4	4.9	4.8
ENSG00000165194	PCDH19	hippocampus	2.6	3.3	4.3
ENSG00000165194	PCDH19	hypothalamus	4.1	5.2	5.2
ENSG00000165194	PCDH19	nucleus accumbens	0.8	1	1.2
ENSG00000165194	PCDH19	pituitary gland	0.8	1	0.7
ENSG00000165194	PCDH19	putamen	0.2	0.3	0.5
ENSG00000165194	PCDH19	retina	2.5	3.5	1.8
ENSG00000165194	PCDH19	spinal cord	0.3	0.4	0.5
ENSG00000165194	PCDH19	substantia nigra	0.7	0.9	1.2
ENSG00000169851	PCDH7	amygdala	4.8	6	8.1
ENSG00000169851	PCDH7	caudate	4.5	5.6	7
ENSG00000169851	PCDH7	cerebellum	0.5	0.6	0.5
ENSG00000169851	PCDH7	cerebral cortex	11.3	13.9	13.7
ENSG00000169851	PCDH7	hippocampus	3.7	4.7	6.3
ENSG00000169851	PCDH7	hypothalamus	6.6	8.3	8.6
ENSG00000169851	PCDH7	nucleus accumbens	3.7	4.7	5.6
ENSG00000169851	PCDH7	pituitary gland	0.2	0.2	0.2
ENSG00000169851	PCDH7	putamen	3.6	4.4	6.4
ENSG00000169851	PCDH7	retina	4.8	6.6	3.4
ENSG00000169851	PCDH7	spinal cord	1.7	2.2	2.4
ENSG00000169851	PCDH7	substantia nigra	3.4	4.2	5.5
ENSG00000138650	PCDH10	amygdala	8.2	10.3	14.6
ENSG00000138650	PCDH10	caudate	16.1	19.8	24.5
ENSG00000138650	PCDH10	cerebellum	1.4	1.9	1.3
ENSG00000138650	PCDH10	cerebral cortex	14	17.2	17.1
ENSG00000138650	PCDH10	hippocampus	7.3	9.1	12.6
ENSG00000138650	PCDH10	hypothalamus	10.1	12.6	13.8
ENSG00000138650	PCDH10	nucleus accumbens	16.1	20	23.5
ENSG00000138650	PCDH10	pituitary gland	1.5	2	1.4
ENSG00000138650	PCDH10	putamen	11.3	13.9	19.7
ENSG00000138650	PCDH10	retina	4.2	5.8	3
ENSG00000138650	PCDH10	spinal cord	3.9	5	5.5
ENSG00000138650	PCDH10	substantia nigra	8.9	11	14.4
ENSG00000189184	PCDH18	amygdala	1.2	1.5	2.2
ENSG00000189184	PCDH18	caudate	1	1.3	1.9
ENSG00000189184	PCDH18	cerebellum	0.5	0.7	0.5
ENSG00000189184	PCDH18	cerebral cortex	1.2	1.5	2
ENSG00000189184	PCDH18	hippocampus	0.9	1.2	1.7
ENSG00000189184	PCDH18	hypothalamus	1.7	2.1	2.4
ENSG00000189184	PCDH18	nucleus accumbens	0.7	0.9	1.2
ENSG00000189184	PCDH18	pituitary gland	2.7	3.5	2.4
ENSG00000189184	PCDH18	putamen	0.9	1.2	2
ENSG00000189184	PCDH18	retina	3	4.1	2.1
ENSG00000189184	PCDH18	spinal cord	1.1	1.3	1.6
ENSG00000189184	PCDH18	substantia nigra	1.3	1.6	2.3
ENSG00000129910	CDH15	amygdala	0	0	0
ENSG00000129910	CDH15	caudate	0.1	0.1	0.2
ENSG00000129910	CDH15	cerebellum	87.2	117	82.8
ENSG00000129910	CDH15	cerebral cortex	0.4	0.6	0.5
ENSG00000129910	CDH15	hippocampus	0	0	0
ENSG00000129910	CDH15	hypothalamus	0.1	0.1	0.1
ENSG00000129910	CDH15	nucleus accumbens	0	0.1	0.1
ENSG00000129910	CDH15	pituitary gland	0.1	0.1	0.1
ENSG00000129910	CDH15	putamen	0	0.1	0.1
ENSG00000129910	CDH15	retina	0	0	0
ENSG00000129910	CDH15	spinal cord	0.6	0.8	1
ENSG00000129910	CDH15	substantia nigra	0.1	0.1	0.1
